1
POLYGON((72964.5721497 55373.8497841,72964.5721497 55411.8497841,72966.5721497 55411.8497841,72966.5721497 55373.8497841,72964.5721497 55373.8497841))
POLYGON((77335.4084592 243503.523676,77335.4084592 243593.523676,77394.4084592 243593.523676,77394.4084592 243503.523676,77335.4084592 243503.523676))
POLYGON((421299.491072 105977.849726,421299.491072 106044.849726,421398.491072 106044.849726,421398.491072 105977.849726,421299.491072 105977.849726))
POLYGON((178653.15825 107955.032093,178653.15825 107965.032093,178717.15825 107965.032093,178717.15825 107955.032093,178653.15825 107955.032093))
POLYGON((315763.610338 402973.871972,315763.610338 403026.871972,315788.610338 403026.871972,315788.610338 402973.871972,315763.610338 402973.871972))
POLYGON((419789.025234 236931.60935,419789.025234 236936.60935,419865.025234 236936.60935,419865.025234 236931.60935,419789.025234 236931.60935))
POLYGON((355927.983446 430764.447282,355927.983446 430780.447282,355937.983446 430780.447282,355937.983446 430764.447282,355927.983446 430764.447282))
POLYGON((258574.166005 314529.672857,258574.166005 314539.672857,258642.166005 314539.672857,258642.166005 314529.672857,258574.166005 314529.672857))
POLYGON((35229.9466066 416324.194384,35229.9466066 416342.194384,35252.9466066 416342.194384,35252.9466066 416324.194384,35229.9466066 416324.194384))
POLYGON((179003.57723 397080.155895,179003.57723 397139.155895,179026.57723 397139.155895,179026.57723 397080.155895,179003.57723 397080.155895))
POLYGON((454127.282865 229221.011581,454127.282865 229229.011581,454218.282865 229229.011581,454218.282865 229221.011581,454127.282865 229221.011581))
POLYGON((301287.92761 23252.6893384,301287.92761 23277.6893384,301294.92761 23277.6893384,301294.92761 23252.6893384,301287.92761 23252.6893384))
POLYGON((461515.217426 95064.709478,461515.217426 95152.709478,461531.217426 95152.709478,461531.217426 95064.709478,461515.217426 95064.709478))
POLYGON((467448.56838 199229.915554,467448.56838 199250.915554,467537.56838 199250.915554,467537.56838 199229.915554,467448.56838 199229.915554))
POLYGON((194651.705291 36837.0394342,194651.705291 36902.0394342,194666.705291 36902.0394342,194666.705291 36837.0394342,194651.705291 36837.0394342))
POLYGON((470777.490032 75494.9609318,470777.490032 75523.9609318,470867.490032 75523.9609318,470867.490032 75494.9609318,470777.490032 75494.9609318))
POLYGON((325429.944268 448481.924193,325429.944268 448514.924193,325510.944268 448514.924193,325510.944268 448481.924193,325429.944268 448481.924193))
POLYGON((77229.3282285 78220.9378274,77229.3282285 78221.9378274,77279.3282285 78221.9378274,77279.3282285 78220.9378274,77229.3282285 78220.9378274))
POLYGON((17453.5899483 41614.2870068,17453.5899483 41615.2870068,17514.5899483 41615.2870068,17514.5899483 41614.2870068,17453.5899483 41614.2870068))
POLYGON((11313.085445 210511.728763,11313.085445 210515.728763,11353.085445 210515.728763,11353.085445 210511.728763,11313.085445 210511.728763))
POLYGON((326266.573995 379280.271936,326266.573995 379359.271936,326326.573995 379359.271936,326326.573995 379280.271936,326266.573995 379280.271936))
POLYGON((356731.150295 434969.111919,356731.150295 435039.111919,356791.150295 435039.111919,356791.150295 434969.111919,356731.150295 434969.111919))
POLYGON((18957.8662508 32409.8258895,18957.8662508 32420.8258895,19051.8662508 32420.8258895,19051.8662508 32409.8258895,18957.8662508 32409.8258895))
POLYGON((245088.553899 18870.5480657,245088.553899 18935.5480657,245162.553899 18935.5480657,245162.553899 18870.5480657,245088.553899 18870.5480657))
POLYGON((11617.230411 97797.4564833,11617.230411 97853.4564833,11697.230411 97853.4564833,11697.230411 97797.4564833,11617.230411 97797.4564833))
POLYGON((37624.6057345 275089.554523,37624.6057345 275180.554523,37700.6057345 275180.554523,37700.6057345 275089.554523,37624.6057345 275089.554523))
POLYGON((322635.356698 106764.207696,322635.356698 106822.207696,322690.356698 106822.207696,322690.356698 106764.207696,322635.356698 106764.207696))
POLYGON((273977.840364 469118.889367,273977.840364 469181.889367,274042.840364 469181.889367,274042.840364 469118.889367,273977.840364 469118.889367))
POLYGON((332841.418324 226909.180823,332841.418324 226924.180823,332860.418324 226924.180823,332860.418324 226909.180823,332841.418324 226909.180823))
POLYGON((209177.028901 269385.516049,209177.028901 269400.516049,209212.028901 269400.516049,209212.028901 269385.516049,209177.028901 269385.516049))
POLYGON((5135.67899923 93939.4618712,5135.67899923 93974.4618712,5162.67899923 93974.4618712,5162.67899923 93939.4618712,5135.67899923 93939.4618712))
POLYGON((269738.372031 178596.951295,269738.372031 178611.951295,269819.372031 178611.951295,269819.372031 178596.951295,269738.372031 178596.951295))
POLYGON((18791.6915952 33019.2699716,18791.6915952 33063.2699716,18870.6915952 33063.2699716,18870.6915952 33019.2699716,18791.6915952 33019.2699716))
POLYGON((157922.56056 279830.101239,157922.56056 279870.101239,157929.56056 279870.101239,157929.56056 279830.101239,157922.56056 279830.101239))
POLYGON((356726.114519 263166.399582,356726.114519 263221.399582,356731.114519 263221.399582,356731.114519 263166.399582,356726.114519 263166.399582))
POLYGON((109851.670494 209392.007032,109851.670494 209397.007032,109949.670494 209397.007032,109949.670494 209392.007032,109851.670494 209392.007032))
POLYGON((52135.6201341 321123.434673,52135.6201341 321129.434673,52225.6201341 321129.434673,52225.6201341 321123.434673,52135.6201341 321123.434673))
POLYGON((349961.517073 1373.66343558,349961.517073 1417.66343558,350021.517073 1417.66343558,350021.517073 1373.66343558,349961.517073 1373.66343558))
POLYGON((98174.3585783 354772.060467,98174.3585783 354784.060467,98176.3585783 354784.060467,98176.3585783 354772.060467,98174.3585783 354772.060467))
POLYGON((269656.544937 162032.600532,269656.544937 162044.600532,269725.544937 162044.600532,269725.544937 162032.600532,269656.544937 162032.600532))
POLYGON((457804.233397 375161.511545,457804.233397 375199.511545,457833.233397 375199.511545,457833.233397 375161.511545,457804.233397 375161.511545))
POLYGON((102645.347913 488540.020227,102645.347913 488571.020227,102658.347913 488571.020227,102658.347913 488540.020227,102645.347913 488540.020227))
POLYGON((260397.570483 222286.124542,260397.570483 222310.124542,260430.570483 222310.124542,260430.570483 222286.124542,260397.570483 222286.124542))
POLYGON((137646.646778 159632.027214,137646.646778 159652.027214,137702.646778 159652.027214,137702.646778 159632.027214,137646.646778 159632.027214))
POLYGON((122336.570548 161385.211348,122336.570548 161430.211348,122431.570548 161430.211348,122431.570548 161385.211348,122336.570548 161385.211348))
POLYGON((309527.705563 354765.557458,309527.705563 354792.557458,309529.705563 354792.557458,309529.705563 354765.557458,309527.705563 354765.557458))
POLYGON((464506.920523 98966.0987403,464506.920523 99005.0987403,464514.920523 99005.0987403,464514.920523 98966.0987403,464506.920523 98966.0987403))
POLYGON((367055.523203 200974.907378,367055.523203 201070.907378,367063.523203 201070.907378,367063.523203 200974.907378,367055.523203 200974.907378))
POLYGON((330248.540595 386555.798323,330248.540595 386603.798323,330328.540595 386603.798323,330328.540595 386555.798323,330248.540595 386555.798323))
